0,1744385189.163241,0,0
0,1744385189.1879175,0,0
1,1744385189.207295,2.06,1.08
0,1744385189.2136683,0,0
0,1744385189.2379174,0,0
0,1744385189.2628272,0,0
0,1744385189.2876277,0,0
1,1744385189.307389,2.06,1.08
0,1744385189.312987,0,0
0,1744385189.3378189,0,0
0,1744385189.3627708,0,0
0,1744385189.3877158,0,0
1,1744385189.4071426,2.07,1.06
0,1744385189.4136155,0,0
0,1744385189.4386873,0,0
0,1744385189.463732,0,0
0,1744385189.4886909,0,0
1,1744385189.5072942,2.07,1.06
0,1744385189.5139802,0,0
0,1744385189.5386696,0,0
0,1744385189.5636353,0,0
0,1744385189.5886016,0,0
1,1744385189.607304,2.06,1.07
0,1744385189.6136959,0,0
0,1744385189.6386747,0,0
0,1744385189.663615,0,0
0,1744385189.6886559,0,0
1,1744385189.7073119,2.06,1.09
0,1744385189.7139528,0,0
0,1744385189.7386696,0,0
0,1744385189.763611,0,0
0,1744385189.788634,0,0
1,1744385189.807422,2.05,1.08
0,1744385189.8138013,0,0
0,1744385189.8386054,0,0
0,1744385189.863606,0,0
0,1744385189.8886032,0,0
1,1744385189.9072204,2.0,1.03
0,1744385189.91392,0,0
0,1744385189.9387941,0,0
0,1744385189.9637172,0,0
0,1744385189.9888124,0,0
1,1744385190.007423,2.01,1.04
0,1744385190.0142982,0,0
0,1744385190.0387,0,0
0,1744385190.064566,0,0
0,1744385190.08965,0,0
1,1744385190.1074407,2.02,1.05
0,1744385190.1147497,0,0
0,1744385190.1409473,0,0
0,1744385190.1656601,0,0
0,1744385190.190581,0,0
1,1744385190.2074566,2.02,1.05
0,1744385190.2159903,0,0
0,1744385190.24083,0,0
0,1744385190.2656145,0,0
0,1744385190.2906597,0,0
1,1744385190.3079288,2.03,1.08
0,1744385190.3147852,0,0
0,1744385190.3395739,0,0
0,1744385190.3646114,0,0
0,1744385190.38947,0,0
1,1744385190.4078724,2.03,1.07
0,1744385190.414943,0,0
0,1744385190.4396574,0,0
0,1744385190.4646513,0,0
0,1744385190.4897068,0,0
1,1744385190.507201,2.03,1.05
0,1744385190.5139024,0,0
0,1744385190.538644,0,0
0,1744385190.5636811,0,0
0,1744385190.5885751,0,0
1,1744385190.6107526,2.04,1.06
0,1744385190.6158552,0,0
0,1744385190.6396854,0,0
0,1744385190.6638541,0,0
0,1744385190.6886015,0,0
1,1744385190.7071476,2.04,1.08
0,1744385190.7136683,0,0
0,1744385190.73848,0,0
0,1744385190.763466,0,0
0,1744385190.7884746,0,0
1,1744385190.8073237,2.04,1.08
0,1744385190.8136818,0,0
0,1744385190.838557,0,0
0,1744385190.863484,0,0
0,1744385190.8884606,0,0
1,1744385190.907314,2.05,1.08
0,1744385190.9136662,0,0
0,1744385190.9385731,0,0
0,1744385190.9635143,0,0
0,1744385190.988445,0,0
1,1744385191.007231,2.06,1.08
0,1744385191.0140498,0,0
0,1744385191.0385416,0,0
0,1744385191.0636485,0,0
0,1744385191.088491,0,0
1,1744385191.1073112,2.06,1.09
